host,variant,function,dim,a12,cliff_delta,magnitude
GWO,ACME-CF,7,20,0.571111111111,0.142222222222,negligible
GWO,ACME-CF,8,20,0.477777777778,-0.044444444444,negligible
GWO,ACME-CF,9,20,0.447777777778,-0.104444444444,negligible
GWO,ACME-CF,10,20,0.516666666667,0.033333333333,negligible
GWO,ACME-CF,11,20,0.497777777778,-0.004444444444,negligible
GWO,ACME-CF,12,20,0.481111111111,-0.037777777778,negligible
GWO,IBREAKDOWN-CF,1,10,0.532222222222,0.064444444444,negligible
GWO,IBREAKDOWN-CF,2,10,0.397777777778,-0.204444444444,small
GWO,IBREAKDOWN-CF,3,10,0.505555555556,0.011111111111,negligible
GWO,IBREAKDOWN-CF,4,10,0.515555555556,0.031111111111,negligible
GWO,IBREAKDOWN-CF,5,10,0.416666666667,-0.166666666667,small
GWO,IBREAKDOWN-CF,6,10,0.502222222222,0.004444444444,negligible
GWO,IBREAKDOWN-CF,7,10,0.568888888889,0.137777777778,negligible
GWO,IBREAKDOWN-CF,8,10,0.487777777778,-0.024444444444,negligible
GWO,IBREAKDOWN-CF,9,10,0.507777777778,0.015555555556,negligible
GWO,IBREAKDOWN-CF,10,10,0.522222222222,0.044444444444,negligible
GWO,IBREAKDOWN-CF,11,10,0.482222222222,-0.035555555556,negligible
GWO,IBREAKDOWN-CF,12,10,0.573333333333,0.146666666667,negligible
GWO,IBREAKDOWN-CF,1,20,0.471111111111,-0.057777777778,negligible
GWO,IBREAKDOWN-CF,2,20,0.521111111111,0.042222222222,negligible
GWO,IBREAKDOWN-CF,3,20,0.467777777778,-0.064444444444,negligible
GWO,IBREAKDOWN-CF,4,20,0.595555555556,0.191111111111,small
GWO,IBREAKDOWN-CF,5,20,0.487777777778,-0.024444444444,negligible
GWO,IBREAKDOWN-CF,6,20,0.463333333333,-0.073333333333,negligible
GWO,IBREAKDOWN-CF,7,20,0.482222222222,-0.035555555556,negligible
GWO,IBREAKDOWN-CF,8,20,0.434444444444,-0.131111111111,negligible
GWO,IBREAKDOWN-CF,9,20,0.444444444444,-0.111111111111,negligible
GWO,IBREAKDOWN-CF,10,20,0.510000000000,0.020000000000,negligible
GWO,IBREAKDOWN-CF,11,20,0.534444444444,0.068888888889,negligible
GWO,IBREAKDOWN-CF,12,20,0.544444444444,0.088888888889,negligible
L-SHADE,SHAP-CF,1,10,0.508888888889,0.017777777778,negligible
L-SHADE,SHAP-CF,2,10,0.501111111111,0.002222222222,negligible
L-SHADE,SHAP-CF,3,10,0.498888888889,-0.002222222222,negligible
L-SHADE,SHAP-CF,4,10,0.774444444444,0.548888888889,large
L-SHADE,SHAP-CF,5,10,0.536111111111,0.072222222222,negligible
L-SHADE,SHAP-CF,6,10,0.573333333333,0.146666666667,negligible
L-SHADE,SHAP-CF,7,10,0.167777777778,-0.664444444444,large
L-SHADE,SHAP-CF,8,10,0.090000000000,-0.820000000000,large
L-SHADE,SHAP-CF,9,10,0.366666666667,-0.266666666667,small
L-SHADE,SHAP-CF,10,10,0.500555555556,0.001111111111,negligible
L-SHADE,SHAP-CF,11,10,0.521111111111,0.042222222222,negligible
L-SHADE,SHAP-CF,12,10,0.480555555556,-0.038888888889,negligible
L-SHADE,SHAP-CF,1,20,0.500000000000,0.000000000000,negligible
L-SHADE,SHAP-CF,2,20,0.813333333333,0.626666666667,large
L-SHADE,SHAP-CF,3,20,0.500000000000,0.000000000000,negligible
L-SHADE,SHAP-CF,4,20,0.867777777778,0.735555555556,large
L-SHADE,SHAP-CF,5,20,0.489444444444,-0.021111111111,negligible
L-SHADE,SHAP-CF,6,20,0.991111111111,0.982222222222,large
L-SHADE,SHAP-CF,7,20,0.893333333333,0.786666666667,large
L-SHADE,SHAP-CF,8,20,0.907777777778,0.815555555556,large
L-SHADE,SHAP-CF,9,20,0.246666666667,-0.506666666667,large
L-SHADE,SHAP-CF,10,20,0.363333333333,-0.273333333333,small
L-SHADE,SHAP-CF,11,20,0.479444444444,-0.041111111111,negligible
L-SHADE,SHAP-CF,12,20,0.473333333333,-0.053333333333,negligible
L-SHADE,LIME-CF,1,10,0.520000000000,0.040000000000,negligible
L-SHADE,LIME-CF,2,10,0.500000000000,0.000000000000,negligible
L-SHADE,LIME-CF,3,10,0.511111111111,0.022222222222,negligible
L-SHADE,LIME-CF,4,10,0.770000000000,0.540000000000,large
L-SHADE,LIME-CF,5,10,0.437222222222,-0.125555555556,negligible
L-SHADE,LIME-CF,6,10,0.365555555556,-0.268888888889,small
L-SHADE,LIME-CF,7,10,0.133333333333,-0.733333333333,large
L-SHADE,LIME-CF,8,10,0.096666666667,-0.806666666667,large
L-SHADE,LIME-CF,9,10,0.524444444444,0.048888888889,negligible
L-SHADE,LIME-CF,10,10,0.540000000000,0.080000000000,negligible
L-SHADE,LIME-CF,11,10,0.534444444444,0.068888888889,negligible
L-SHADE,LIME-CF,12,10,0.325000000000,-0.350000000000,medium
L-SHADE,LIME-CF,1,20,0.500000000000,0.000000000000,negligible
L-SHADE,LIME-CF,2,20,0.816666666667,0.633333333333,large
L-SHADE,LIME-CF,3,20,0.500000000000,0.000000000000,negligible
L-SHADE,LIME-CF,4,20,0.908888888889,0.817777777778,large
L-SHADE,LIME-CF,5,20,0.483888888889,-0.032222222222,negligible
L-SHADE,LIME-CF,6,20,0.971111111111,0.942222222222,large
L-SHADE,LIME-CF,7,20,0.875555555556,0.751111111111,large
L-SHADE,LIME-CF,8,20,0.772222222222,0.544444444444,large
L-SHADE,LIME-CF,9,20,0.223333333333,-0.553333333333,large
L-SHADE,LIME-CF,10,20,0.428333333333,-0.143333333333,negligible
L-SHADE,LIME-CF,11,20,0.546111111111,0.092222222222,negligible
L-SHADE,LIME-CF,12,20,0.487222222222,-0.025555555556,negligible
L-SHADE,ACME-CF,1,10,0.490000000000,-0.020000000000,negligible
L-SHADE,ACME-CF,2,10,0.498888888889,-0.002222222222,negligible
L-SHADE,ACME-CF,3,10,0.452222222222,-0.095555555556,negligible
L-SHADE,ACME-CF,4,10,0.736666666667,0.473333333333,medium
L-SHADE,ACME-CF,5,10,0.508333333333,0.016666666667,negligible
L-SHADE,ACME-CF,6,10,0.506666666667,0.013333333333,negligible
L-SHADE,ACME-CF,7,10,0.152222222222,-0.695555555556,large
L-SHADE,ACME-CF,8,10,0.092222222222,-0.815555555556,large
L-SHADE,ACME-CF,9,10,0.473333333333,-0.053333333333,negligible
L-SHADE,ACME-CF,10,10,0.501666666667,0.003333333333,negligible
L-SHADE,ACME-CF,11,10,0.501111111111,0.002222222222,negligible
L-SHADE,ACME-CF,12,10,0.407222222222,-0.185555555556,small
L-SHADE,ACME-CF,1,20,0.500000000000,0.000000000000,negligible
L-SHADE,ACME-CF,2,20,0.777777777778,0.555555555556,large
L-SHADE,ACME-CF,3,20,0.500000000000,0.000000000000,negligible
L-SHADE,ACME-CF,4,20,0.957777777778,0.915555555556,large
L-SHADE,ACME-CF,5,20,0.490555555556,-0.018888888889,negligible
L-SHADE,ACME-CF,6,20,0.992222222222,0.984444444444,large
L-SHADE,ACME-CF,7,20,0.905555555556,0.811111111111,large
L-SHADE,ACME-CF,8,20,0.874444444444,0.748888888889,large
L-SHADE,ACME-CF,9,20,0.173333333333,-0.653333333333,large
L-SHADE,ACME-CF,10,20,0.427222222222,-0.145555555556,negligible
L-SHADE,ACME-CF,11,20,0.487222222222,-0.025555555556,negligible
L-SHADE,ACME-CF,12,20,0.504444444444,0.008888888889,negligible
L-SHADE,IBREAKDOWN-CF,1,10,0.544444444444,0.088888888889,negligible
L-SHADE,IBREAKDOWN-CF,2,10,0.498888888889,-0.002222222222,negligible
L-SHADE,IBREAKDOWN-CF,3,10,0.412222222222,-0.175555555556,small
L-SHADE,IBREAKDOWN-CF,4,10,0.695555555556,0.391111111111,medium
L-SHADE,IBREAKDOWN-CF,5,10,0.526111111111,0.052222222222,negligible
L-SHADE,IBREAKDOWN-CF,6,10,0.465555555556,-0.068888888889,negligible
L-SHADE,IBREAKDOWN-CF,7,10,0.177777777778,-0.644444444444,large
L-SHADE,IBREAKDOWN-CF,8,10,0.124444444444,-0.751111111111,large
L-SHADE,IBREAKDOWN-CF,9,10,0.423333333333,-0.153333333333,small
L-SHADE,IBREAKDOWN-CF,10,10,0.516666666667,0.033333333333,negligible
L-SHADE,IBREAKDOWN-CF,11,10,0.572222222222,0.144444444444,negligible
L-SHADE,IBREAKDOWN-CF,12,10,0.368333333333,-0.263333333333,small
L-SHADE,IBREAKDOWN-CF,1,20,0.500000000000,0.000000000000,negligible
L-SHADE,IBREAKDOWN-CF,2,20,0.836666666667,0.673333333333,large
L-SHADE,IBREAKDOWN-CF,3,20,0.500000000000,0.000000000000,negligible
L-SHADE,IBREAKDOWN-CF,4,20,0.942222222222,0.884444444444,large
L-SHADE,IBREAKDOWN-CF,5,20,0.483888888889,-0.032222222222,negligible
L-SHADE,IBREAKDOWN-CF,6,20,0.945555555556,0.891111111111,large
L-SHADE,IBREAKDOWN-CF,7,20,0.883333333333,0.766666666667,large
L-SHADE,IBREAKDOWN-CF,8,20,0.893333333333,0.786666666667,large
L-SHADE,IBREAKDOWN-CF,9,20,0.227777777778,-0.544444444444,large
L-SHADE,IBREAKDOWN-CF,10,20,0.363888888889,-0.272222222222,small
L-SHADE,IBREAKDOWN-CF,11,20,0.527222222222,0.054444444444,negligible
L-SHADE,IBREAKDOWN-CF,12,20,0.497777777778,-0.004444444444,negligible
jSO,SHAP-CF,1,10,0.611666666667,0.223333333333,small
jSO,SHAP-CF,2,10,0.485000000000,-0.030000000000,negligible
jSO,SHAP-CF,3,10,0.558888888889,0.117777777778,negligible
jSO,SHAP-CF,4,10,0.734444444444,0.468888888889,medium
jSO,SHAP-CF,5,10,0.591111111111,0.182222222222,small
jSO,SHAP-CF,6,10,0.285555555556,-0.428888888889,medium
jSO,SHAP-CF,7,10,0.596666666667,0.193333333333,small
jSO,SHAP-CF,8,10,0.570000000000,0.140000000000,negligible
jSO,SHAP-CF,9,10,0.596666666667,0.193333333333,small
jSO,SHAP-CF,10,10,0.500555555556,0.001111111111,negligible
jSO,SHAP-CF,11,10,0.584444444444,0.168888888889,small
jSO,SHAP-CF,12,10,0.482777777778,-0.034444444444,negligible
jSO,SHAP-CF,1,20,0.563888888889,0.127777777778,negligible
jSO,SHAP-CF,2,20,0.560555555556,0.121111111111,negligible
jSO,SHAP-CF,3,20,0.485555555556,-0.028888888889,negligible
jSO,SHAP-CF,4,20,0.866666666667,0.733333333333,large
jSO,SHAP-CF,5,20,0.535555555556,0.071111111111,negligible
jSO,SHAP-CF,6,20,1.000000000000,1.000000000000,large
jSO,SHAP-CF,7,20,0.902222222222,0.804444444444,large
jSO,SHAP-CF,8,20,0.978888888889,0.957777777778,large
jSO,SHAP-CF,9,20,0.583333333333,0.166666666667,small
jSO,SHAP-CF,10,20,0.443333333333,-0.113333333333,negligible
jSO,SHAP-CF,11,20,0.518888888889,0.037777777778,negligible
jSO,SHAP-CF,12,20,0.510000000000,0.020000000000,negligible
jSO,LIME-CF,1,10,0.619444444444,0.238888888889,small
jSO,LIME-CF,2,10,0.475555555556,-0.048888888889,negligible
jSO,LIME-CF,3,10,0.563333333333,0.126666666667,negligible
jSO,LIME-CF,4,10,0.678888888889,0.357777777778,medium
jSO,LIME-CF,5,10,0.617777777778,0.235555555556,small
jSO,LIME-CF,6,10,0.405555555556,-0.188888888889,small
jSO,LIME-CF,7,10,0.570000000000,0.140000000000,negligible
jSO,LIME-CF,8,10,0.435555555556,-0.128888888889,negligible
jSO,LIME-CF,9,10,0.444444444444,-0.111111111111,negligible
jSO,LIME-CF,10,10,0.436111111111,-0.127777777778,negligible
jSO,LIME-CF,11,10,0.538888888889,0.077777777778,negligible
jSO,LIME-CF,12,10,0.320000000000,-0.360000000000,medium
jSO,LIME-CF,1,20,0.627222222222,0.254444444444,small
jSO,LIME-CF,2,20,0.602777777778,0.205555555556,small
jSO,LIME-CF,3,20,0.553333333333,0.106666666667,negligible
jSO,LIME-CF,4,20,0.912222222222,0.824444444444,large
jSO,LIME-CF,5,20,0.617777777778,0.235555555556,small
jSO,LIME-CF,6,20,1.000000000000,1.000000000000,large
jSO,LIME-CF,7,20,0.867777777778,0.735555555556,large
jSO,LIME-CF,8,20,0.926666666667,0.853333333333,large
jSO,LIME-CF,9,20,0.296666666667,-0.406666666667,medium
jSO,LIME-CF,10,20,0.407777777778,-0.184444444444,small
jSO,LIME-CF,11,20,0.370000000000,-0.260000000000,small
jSO,LIME-CF,12,20,0.406111111111,-0.187777777778,small
jSO,ACME-CF,1,10,0.560555555556,0.121111111111,negligible
jSO,ACME-CF,2,10,0.473888888889,-0.052222222222,negligible
jSO,ACME-CF,3,10,0.597777777778,0.195555555556,small
jSO,ACME-CF,4,10,0.760000000000,0.520000000000,large
jSO,ACME-CF,5,10,0.686111111111,0.372222222222,medium
jSO,ACME-CF,6,10,0.336666666667,-0.326666666667,small
jSO,ACME-CF,7,10,0.478888888889,-0.042222222222,negligible
jSO,ACME-CF,8,10,0.590000000000,0.180000000000,small
jSO,ACME-CF,9,10,0.441111111111,-0.117777777778,negligible
jSO,ACME-CF,10,10,0.468333333333,-0.063333333333,negligible
jSO,ACME-CF,11,10,0.538333333333,0.076666666667,negligible
jSO,ACME-CF,12,10,0.337777777778,-0.324444444444,small
jSO,ACME-CF,1,20,0.490555555556,-0.018888888889,negligible
jSO,ACME-CF,2,20,0.575555555556,0.151111111111,small
jSO,ACME-CF,3,20,0.597222222222,0.194444444444,small
jSO,ACME-CF,4,20,0.957777777778,0.915555555556,large
jSO,ACME-CF,5,20,0.614444444444,0.228888888889,small
jSO,ACME-CF,6,20,0.974444444444,0.948888888889,large
jSO,ACME-CF,7,20,0.875555555556,0.751111111111,large
jSO,ACME-CF,8,20,0.928888888889,0.857777777778,large
jSO,ACME-CF,9,20,0.490000000000,-0.020000000000,negligible
jSO,ACME-CF,10,20,0.315555555556,-0.368888888889,medium
jSO,ACME-CF,11,20,0.402777777778,-0.194444444444,small
jSO,ACME-CF,12,20,0.421666666667,-0.156666666667,small
jSO,IBREAKDOWN-CF,1,10,0.473888888889,-0.052222222222,negligible
jSO,IBREAKDOWN-CF,2,10,0.500000000000,0.000000000000,negligible
jSO,IBREAKDOWN-CF,3,10,0.461111111111,-0.077777777778,negligible
jSO,IBREAKDOWN-CF,4,10,0.654444444444,0.308888888889,small
jSO,IBREAKDOWN-CF,5,10,0.593333333333,0.186666666667,small
jSO,IBREAKDOWN-CF,6,10,0.353333333333,-0.293333333333,small
jSO,IBREAKDOWN-CF,7,10,0.541111111111,0.082222222222,negligible
jSO,IBREAKDOWN-CF,8,10,0.561111111111,0.122222222222,negligible
jSO,IBREAKDOWN-CF,9,10,0.474444444444,-0.051111111111,negligible
jSO,IBREAKDOWN-CF,10,10,0.500555555556,0.001111111111,negligible
jSO,IBREAKDOWN-CF,11,10,0.458888888889,-0.082222222222,negligible
jSO,IBREAKDOWN-CF,12,10,0.393888888889,-0.212222222222,small
jSO,IBREAKDOWN-CF,1,20,0.483888888889,-0.032222222222,negligible
jSO,IBREAKDOWN-CF,2,20,0.569444444444,0.138888888889,negligible
jSO,IBREAKDOWN-CF,3,20,0.597777777778,0.195555555556,small
jSO,IBREAKDOWN-CF,4,20,0.847777777778,0.695555555556,large
jSO,IBREAKDOWN-CF,5,20,0.496111111111,-0.007777777778,negligible
jSO,IBREAKDOWN-CF,6,20,1.000000000000,1.000000000000,large
jSO,IBREAKDOWN-CF,7,20,0.950000000000,0.900000000000,large
jSO,IBREAKDOWN-CF,8,20,0.986666666667,0.973333333333,large
jSO,IBREAKDOWN-CF,9,20,0.280000000000,-0.440000000000,medium
jSO,IBREAKDOWN-CF,10,20,0.437777777778,-0.124444444444,negligible
jSO,IBREAKDOWN-CF,11,20,0.482222222222,-0.035555555556,negligible
jSO,IBREAKDOWN-CF,12,20,0.499444444444,-0.001111111111,negligible
GSK,SHAP-CF,1,10,0.500555555556,0.001111111111,negligible
GSK,SHAP-CF,2,10,0.598888888889,0.197777777778,small
GSK,SHAP-CF,3,10,0.615000000000,0.230000000000,small
GSK,SHAP-CF,4,10,0.591111111111,0.182222222222,small
GSK,SHAP-CF,5,10,0.659444444444,0.318888888889,small
GSK,SHAP-CF,6,10,0.618888888889,0.237777777778,small
GSK,SHAP-CF,7,10,0.310000000000,-0.380000000000,medium
GSK,SHAP-CF,8,10,0.294444444444,-0.411111111111,medium
GSK,SHAP-CF,9,10,0.500555555556,0.001111111111,negligible
GSK,SHAP-CF,10,10,0.538888888889,0.077777777778,negligible
GSK,SHAP-CF,11,10,0.580000000000,0.160000000000,small
GSK,SHAP-CF,12,10,0.532222222222,0.064444444444,negligible
GSK,SHAP-CF,1,20,0.673888888889,0.347777777778,medium
GSK,SHAP-CF,2,20,0.783333333333,0.566666666667,large
GSK,SHAP-CF,3,20,0.857777777778,0.715555555556,large
GSK,SHAP-CF,4,20,0.561111111111,0.122222222222,negligible
GSK,SHAP-CF,5,20,0.911111111111,0.822222222222,large
GSK,SHAP-CF,6,20,0.790000000000,0.580000000000,large
GSK,SHAP-CF,7,20,0.192222222222,-0.615555555556,large
GSK,SHAP-CF,8,20,0.508888888889,0.017777777778,negligible
GSK,SHAP-CF,9,20,0.890000000000,0.780000000000,large
GSK,SHAP-CF,10,20,0.518333333333,0.036666666667,negligible
GSK,SHAP-CF,11,20,0.716666666667,0.433333333333,medium
GSK,SHAP-CF,12,20,0.520000000000,0.040000000000,negligible
GSK,LIME-CF,1,10,0.512777777778,0.025555555556,negligible
GSK,LIME-CF,2,10,0.637777777778,0.275555555556,small
GSK,LIME-CF,3,10,0.656111111111,0.312222222222,small
GSK,LIME-CF,4,10,0.552222222222,0.104444444444,negligible
GSK,LIME-CF,5,10,0.693888888889,0.387777777778,medium
GSK,LIME-CF,6,10,0.596666666667,0.193333333333,small
GSK,LIME-CF,7,10,0.102222222222,-0.795555555556,large
